id,ime,fakulteta,univerza,predmeti,st_ocen,ocena
38,Deklič Zakrajškov,Akademija za glasbo,Univerza v Ljubljani,[''],1,5.0

39,Skalar Monika,Akademija za glasbo,Univerza v Ljubljani,['Violina'],9,3.2

40,Haas Hinko,Akademija za glasbo,Univerza v Ljubljani,[''],27,3.9

41,Jarc Andrej,Akademija za glasbo,Univerza v Ljubljani,[''],18,2.4

42,Mlinarić Vladimir,Akademija za glasbo,Univerza v Ljubljani,[''],27,2.6

43,Ognjanovič Tatjana,Akademija za glasbo,Univerza v Ljubljani,[''],30,3.8

44,Petrač Tomaž,Akademija za glasbo,Univerza v Ljubljani,[''],22,1.7

45,Tomšič Srebotnjak Dubravka,Akademija za glasbo,Univerza v Ljubljani,['Klavir'],27,2.8

46,Zlatar Jakša,Akademija za glasbo,Univerza v Ljubljani,[''],28,2.2

47,Muck Kristijan,"Akademija za gledališče, radio, film in televizijo",Univerza v Ljubljani,['Dramska igra'],5,4.2

48,Slodnjak Martin,"Akademija za gledališče, radio, film in televizijo",Univerza v Ljubljani,['Sabljanje'],9,4.0

49,Zupanič Miran,"Akademija za gledališče, radio, film in televizijo",Univerza v Ljubljani,['Filmska režija'],15,3.5

50,Barši Jože,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],14,3.4

51,Berlot Uršula,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,"['Anatomija', 'Prostorske zasnove']",30,3.3

52,Botas Kenda Boštjan,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],19,3.5

53,Bratuš Lucijan,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],20,3.9

54,Bučar Dušan,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],8,3.0

55,Dragan Srečo,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,['Video in novi mediji'],43,3.9

56,Erič Milan,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,['Risba'],22,4.0

57,Frlic Metod,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],8,2.9

58,Gorenec Bojan,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,['Slikarstvo'],5,2.6

59,Jenko Radovan,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],14,2.1

60,Lenardič Zmago,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],8,3.1

61,Makuc Semion Miladi,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],4,3.5

62,Miklavc Junoš,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],7,1.4

63,Mikuž Jure,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,['Umetnostna zgodovina'],26,3.8

64,Močnik Ramovš Lucija,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],8,3.8

65,Muhovič Jožef,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,"['Likovna teorija', 'Likovna teorija']",43,3.5

66,Novak Ranko,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],14,3.9

67,Pajk Milan,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,['Fotografija'],9,2.8

68,Pak Tanja,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],8,2.6

69,Papič Zdravko,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],16,3.9

70,Pezdirc Vladimir,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],4,3.2

71,Počivavšek Matjaž,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],10,3.5

72,Smole Jure,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],5,5.0

73,Smotlak Fabio,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,['Industrijsko oblikovanje'],31,2.0

74,Suhy Branko,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,['Grafika'],17,2.2

75,Vodopivec Lujo,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],5,1.8

76,Vogelnik Borut,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,['Tehnologija'],15,4.2

77,Zgonik Nadja,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,['Umetnostna zgodovina 2'],16,2.6

78,Čehovin Eduard,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],15,2.7

79,Šušnik Tugomir,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,['Risba'],22,3.0

80,Bernik Janez,Akademija za likovno umetnost in oblikovanje,Univerza v Ljubljani,[''],0,0

81,Abramovič Helena,Biotehniška fakulteta,Univerza v Ljubljani,[''],47,1.9

82,Accetto Tomaž,Biotehniška fakulteta,Univerza v Ljubljani,"['Bioinformacijska orodja v mikrobiologiji', 'Uporabna encimatika']",71,3.8

83,Ambrožič Avguštin Jerneja,Biotehniška fakulteta,Univerza v Ljubljani,"['Molekularna genetika', 'Geni in okolje']",85,3.7

84,Anderluh Gregor,Biotehniška fakulteta,Univerza v Ljubljani,"['Biokemija', 'Bioinformatika']",299,2.0

85,Avguštin Gorazd,Biotehniška fakulteta,Univerza v Ljubljani,"['Bioinformacijska orodja v mikrobiologiji', 'Mikrobna raznolikost in identifikacija', 'Mikrobiologija prebavnega trakta']",65,3.4

86,Baričevič Dea,Biotehniška fakulteta,Univerza v Ljubljani,['Izbirni predmet-zdravilne in aromatične rastline'],37,4.1

87,Bartol Tomaž,Biotehniška fakulteta,Univerza v Ljubljani,['Biotehniška informatika'],87,3.6

88,Bačič Tinka,Biotehniška fakulteta,Univerza v Ljubljani,"['Sistematska botanika', 'Biokemija']",57,3.8

89,Belušič Gregor,Biotehniška fakulteta,Univerza v Ljubljani,[''],63,4.2

90,Bernik Rajko,Biotehniška fakulteta,Univerza v Ljubljani,['Strojništvo'],125,2.9

91,Bizjak Mali Lilijana,Biotehniška fakulteta,Univerza v Ljubljani,"['Embriologija', 'Primerjalna anatomija vretenčarjev']",43,3.4

92,Bohanec Borut,Biotehniška fakulteta,Univerza v Ljubljani,[''],3,3.7

93,Bončina Andrej,Biotehniška fakulteta,Univerza v Ljubljani,['Osnove urejanja gozdov'],43,2.3

94,Božič Janko,Biotehniška fakulteta,Univerza v Ljubljani,"['Čebelarstvo', 'Etologija']",53,2.2

95,Breznikar Aleš,Biotehniška fakulteta,Univerza v Ljubljani,['Geodezija in kartografija'],16,3.0

96,Brus Robert,Biotehniška fakulteta,Univerza v Ljubljani,['Dendrologija z žlahtnjenjem gozdnega drevja'],101,4.6

97,Butala Matej,Biotehniška fakulteta,Univerza v Ljubljani,"['Osnove bioinformatike', 'Biokemija', 'Proteomika']",94,4.7

98,Celar Franci,Biotehniška fakulteta,Univerza v Ljubljani,['Fitopatologija s fitomedicino'],51,4.2

99,Cigič Blaž,Biotehniška fakulteta,Univerza v Ljubljani,"['Živilska kemija', 'Kemija z biokemijo', 'Analitska biotehnologija-msc']",148,4.5

100,Cunja Vlasta,Biotehniška fakulteta,Univerza v Ljubljani,['Rožice'],23,1.0

101,Danevčič Tjaša,Biotehniška fakulteta,Univerza v Ljubljani,[''],78,4.7

102,Diaci Jurij,Biotehniška fakulteta,Univerza v Ljubljani,['Gojenje gozdov'],31,4.6

103,Dogša Iztok,Biotehniška fakulteta,Univerza v Ljubljani,"['Mikrobna ekologija', 'Analitske metode v mikrobiologiji']",102,4.1

104,Dolenc Koce Jasna,Biotehniška fakulteta,Univerza v Ljubljani,['Biologija rastlin'],155,4.1

105,Dolinar Gregor,Biotehniška fakulteta,Univerza v Ljubljani,['Matematika'],62,4.0

106,Dovč Peter,Biotehniška fakulteta,Univerza v Ljubljani,['Tehnologija živinorejske proizvodnje'],78,4.1

107,Drobne Damjana,Biotehniška fakulteta,Univerza v Ljubljani,[''],55,4.0

108,Eler Klemen,Biotehniška fakulteta,Univerza v Ljubljani,['Osnove ekologije rastlin in varstvo okolja'],40,4.4

109,Erjavec Emil,Biotehniška fakulteta,Univerza v Ljubljani,[''],19,4.2

110,Ficko Andrej,Biotehniška fakulteta,Univerza v Ljubljani,[''],17,3.1

111,Gaberščik Alenka,Biotehniška fakulteta,Univerza v Ljubljani,[''],28,4.0

112,Gazvoda Davorin,Biotehniška fakulteta,Univerza v Ljubljani,"['Krajinska arhitektura', 'Oblikovanje zelenih površin']",40,2.1

113,Glavan Gordana,Biotehniška fakulteta,Univerza v Ljubljani,[''],12,4.2

114,Glavan Matjaž,Biotehniška fakulteta,Univerza v Ljubljani,[''],20,4.8

115,Golja Petra,Biotehniška fakulteta,Univerza v Ljubljani,"['Anatomija človeka', 'Evolucija človeka']",149,4.7

116,Grošelj Petra,Biotehniška fakulteta,Univerza v Ljubljani,['Matematika'],21,3.4

117,GrČman Helena,Biotehniška fakulteta,Univerza v Ljubljani,"['Pedologija', 'Raba in varstvo tal']",134,4.2

118,Gunde Cimerman Nina,Biotehniška fakulteta,Univerza v Ljubljani,"['Raznolikost in identifikacija mikroorganizmov', 'Mikologija', 'Mikrobiologija']",154,2.8

119,Hauptman Tine,Biotehniška fakulteta,Univerza v Ljubljani,"['Gozdna zoologija z zooekologijo', 'Aplikativna gozdna zoologija', 'Gozdna fitopatologija']",61,3.9

120,Jakše Jernej,Biotehniška fakulteta,Univerza v Ljubljani,"['Bioinformatika', 'Genetika - vaje', 'Genetika']",139,4.3

121,Jamnik Polona,Biotehniška fakulteta,Univerza v Ljubljani,[''],60,4.4

122,Jamnik Marjanca,Biotehniška fakulteta,Univerza v Ljubljani,[''],11,4.5

123,Jarni Kristjan,Biotehniška fakulteta,Univerza v Ljubljani,['Dendrologija z žlahtnjenjem gozdnega drevja'],32,2.7

124,Jerina Klemen,Biotehniška fakulteta,Univerza v Ljubljani,['Ekologija divjadi in lovno gospodarsko načrtovanje'],67,4.6

125,Jogan Nejc,Biotehniška fakulteta,Univerza v Ljubljani,"['Sistematska botanika', 'Naravovarstvena praksa', 'Biogeografija']",104,2.0

126,Jurc Maja,Biotehniška fakulteta,Univerza v Ljubljani,"['Gozdna zoologija z zooekologijo', 'Aplikativna gozdna zoologija']",75,2.9

127,Kacjan Maršič Nina,Biotehniška fakulteta,Univerza v Ljubljani,[''],56,4.4

128,Kadunc Aleš,Biotehniška fakulteta,Univerza v Ljubljani,['Prirastoslovje  in statistika'],46,3.1

129,Kajfež Bogataj Lučka,Biotehniška fakulteta,Univerza v Ljubljani,"['Agrometerologija z osnovami fizike', 'Meteorologija', 'Klimatologija']",161,3.8

130,Kocjan Ačko Darja,Biotehniška fakulteta,Univerza v Ljubljani,['Osnove poljedelstva'],21,2.9

131,Kos Katarina,Biotehniška fakulteta,Univerza v Ljubljani,['Fitopatologija'],23,4.2

132,Kos Ivan,Biotehniška fakulteta,Univerza v Ljubljani,[''],27,1.7

133,Kostanjšek Rok,Biotehniška fakulteta,Univerza v Ljubljani,"['Biologija večceličnih organizmov', 'Biologija živalske celice in histologija', 'Splošna zoologija', 'Uvod v odnose med organizmi', 'Primerjalna anatomija vretenčarjev']",178,4.6

134,Košmelj Katarina,Biotehniška fakulteta,Univerza v Ljubljani,['Statistika z računalništvom'],114,3.0

135,Košmerl Tatjana,Biotehniška fakulteta,Univerza v Ljubljani,[''],23,2.7

136,Kraigher Barbara,Biotehniška fakulteta,Univerza v Ljubljani,['Mikrobiologija'],6,4.3

137,Krofel Miha,Biotehniška fakulteta,Univerza v Ljubljani,[''],4,5.0

138,Krč Janez,Biotehniška fakulteta,Univerza v Ljubljani,"['Organizacija gozdarskih del', 'Praktikum iz računalništva']",55,2.0

139,Kuhar Aleš,Biotehniška fakulteta,Univerza v Ljubljani,"['Podjetništvo', 'Ekonomika']",59,4.2

140,Kump Bojka,Biotehniška fakulteta,Univerza v Ljubljani,[''],20,3.6

141,Kunej Tanja,Biotehniška fakulteta,Univerza v Ljubljani,['Genegtika 2'],111,3.1

142,Kučan Ana,Biotehniška fakulteta,Univerza v Ljubljani,[''],20,2.2

143,Leštan Domen,Biotehniška fakulteta,Univerza v Ljubljani,[''],1,1.0

144,Likar Matevž,Biotehniška fakulteta,Univerza v Ljubljani,[''],22,3.5

145,Luthar Zlata,Biotehniška fakulteta,Univerza v Ljubljani,['Varnost in regulativa v biotehnologiji'],20,3.9

146,Majdič Gregor,Biotehniška fakulteta,Univerza v Ljubljani,[''],17,3.9

147,Mandić Mulec Ines,Biotehniška fakulteta,Univerza v Ljubljani,"['Mikrobiologija', 'Mikrobna fiziologija', 'Molekularna mikrobiologija', 'Mikrobiološki praktikum']",149,3.0

148,Marendič Eleonora,Biotehniška fakulteta,Univerza v Ljubljani,['Angleški jezik'],91,3.1

149,Marinšek- Logar Romana,Biotehniška fakulteta,Univerza v Ljubljani,"['Mikrobna biotehnologija', 'Navavovarstvena biotehnologija', 'Okoljski monitoring', 'Mikrobiološki praktikum', 'Ekologija in varstvo okolja v kmetijstvu', 'Varstvo okolja v kmetijstvu', 'Izbrana poglavja v mikrobiologiji', 'Uporabna encimatika']",49,2.7

150,Marko Kreft,Biotehniška fakulteta,Univerza v Ljubljani,"['Fiziologija človeka', 'Funkcionalna biologija celice', 'Nevrobiologija', 'Fiziologija presnove']",103,4.9

151,Meterc Gregor,Biotehniška fakulteta,Univerza v Ljubljani,"['Gozdna zoologija z zooekologijo', 'Gozdna fitopatologija']",48,4.8

152,Mihelič Rok,Biotehniška fakulteta,Univerza v Ljubljani,['Gnojenje in rodovitnost tal'],41,4.0

153,Mihelič Matevž,Biotehniška fakulteta,Univerza v Ljubljani,['Pridobivanje lesa'],43,1.2

154,Mikulič Petkovšek Maja,Biotehniška fakulteta,Univerza v Ljubljani,[''],23,3.4

155,Narat Mojca,Biotehniška fakulteta,Univerza v Ljubljani,"['Živalske celice', 'Imunologija', 'Živalske tkivne kulture']",90,3.6

156,Oven Irena,Biotehniška fakulteta,Univerza v Ljubljani,"['Imunologija', 'Živalske tkivne kulture']",23,4.0

157,Pavlin Roman,Biotehniška fakulteta,Univerza v Ljubljani,"['Aplikativna gozdna zoologija', 'Osnove varstva gozdov']",25,2.8

158,Pašić Lejla,Biotehniška fakulteta,Univerza v Ljubljani,['Molekularna biologija - vaje'],58,3.8

159,Perpar Anton,Biotehniška fakulteta,Univerza v Ljubljani,[''],13,3.5

160,Petrovič Uroš,Biotehniška fakulteta,Univerza v Ljubljani,"['Genetika evkariontov', 'Molekularna biologija']",28,2.5

161,Pezdevšek Malovrh Špela,Biotehniška fakulteta,Univerza v Ljubljani,['Gozdno podjetništvo'],72,1.6

162,Pintar Marina,Biotehniška fakulteta,Univerza v Ljubljani,['Urejanje kmetijskih zemljišč'],92,3.0

163,Pirnat Janez,Biotehniška fakulteta,Univerza v Ljubljani,['Krajinska ekologija'],24,2.3

164,Podgornik Aleš,Biotehniška fakulteta,Univerza v Ljubljani,['Biotehnološki tehnikum'],61,4.1

165,Pogačnik Lea,Biotehniška fakulteta,Univerza v Ljubljani,"['Kemija z biokemijo', 'Kemija - vaje']",60,3.4

166,Poje Antonn,Biotehniška fakulteta,Univerza v Ljubljani,"['Ergo', 'Prometnice']",13,2.4

167,Poklar Ulrih Nataša,Biotehniška fakulteta,Univerza v Ljubljani,['Biokemija'],77,3.1

168,Polak Tomaž,Biotehniška fakulteta,Univerza v Ljubljani,['Tehnologije mesa in mesnih izdelkov'],1,3.0

169,Potočnik Igor,Biotehniška fakulteta,Univerza v Ljubljani,"['Ergonomija', 'Gozdne prometnice']",4,3.5

170,Potočnik Hubert,Biotehniška fakulteta,Univerza v Ljubljani,[''],14,4.2

171,Prevorčnik Simona,Biotehniška fakulteta,Univerza v Ljubljani,[''],38,3.9

172,Prislan Iztok,Biotehniška fakulteta,Univerza v Ljubljani,[''],21,2.9

173,Prus Tomaž,Biotehniška fakulteta,Univerza v Ljubljani,[''],34,3.6

174,Razpotnik Andrej,Biotehniška fakulteta,Univerza v Ljubljani,[''],12,3.4

175,Rebernik Janko,Biotehniška fakulteta,Univerza v Ljubljani,[''],10,4.5

176,Regvar Marjana,Biotehniška fakulteta,Univerza v Ljubljani,"['Uvod v odnose med organizmi', 'Funkcionalna biologija celice - rastline', 'Fiziologija rastlin']",80,2.4

177,Robič Tatjana,Biotehniška fakulteta,Univerza v Ljubljani,[''],37,4.8

178,Rusjan Denis,Biotehniška fakulteta,Univerza v Ljubljani,['Vinogradništvo'],55,3.5

179,Schmitzer Valentina,Biotehniška fakulteta,Univerza v Ljubljani,['Okrasne rastline'],31,3.6

180,Sepčič Kristina,Biotehniška fakulteta,Univerza v Ljubljani,"['Biokemija', 'Naravni produkti in njihova uporaba']",191,4.7

181,Skrt Mihaela,Biotehniška fakulteta,Univerza v Ljubljani,['Biokemija'],73,3.1

182,Slatnar Ana,Biotehniška fakulteta,Univerza v Ljubljani,['Splošno sadjarstvo'],32,3.7

183,Smole Možina Sonja,Biotehniška fakulteta,Univerza v Ljubljani,"['Osnove mikrobiologije', 'Mikrobiologija in biotehnologija hrane', 'Živilska mikrobiologija', 'Varnost živil']",56,1.6

184,Starčič Erjavec Marjanca,Biotehniška fakulteta,Univerza v Ljubljani,['Mikrobna genetika'],58,2.7

185,Stopar David,Biotehniška fakulteta,Univerza v Ljubljani,[''],117,4.0

186,Strgar Jelka,Biotehniška fakulteta,Univerza v Ljubljani,['Metodika'],30,3.3

187,Strgulc Krajšek Simona,Biotehniška fakulteta,Univerza v Ljubljani,['Biologija rastlin - praktikum'],41,4.4

188,Suhadolc Marjetka,Biotehniška fakulteta,Univerza v Ljubljani,"['Varstvo okolja', 'Pedologija z mikrobiologijo tal', 'Pedologija']",56,3.5

189,Terpinc Petra,Biotehniška fakulteta,Univerza v Ljubljani,"['Tehnologije sadje in zelenjave', 'Tehnologije predelave poljščin']",2,4.5

190,Tomažič Iztok,Biotehniška fakulteta,Univerza v Ljubljani,[''],55,2.5

191,Trdan Stanislav,Biotehniška fakulteta,Univerza v Ljubljani,['Entomologija'],55,3.4

192,Trontelj Peter,Biotehniška fakulteta,Univerza v Ljubljani,[''],41,3.9

193,Trošt Sedej Tadeja,Biotehniška fakulteta,Univerza v Ljubljani,['Ekologija rastlin'],47,3.1

194,Turel Iztok,Biotehniška fakulteta,Univerza v Ljubljani,['Splošna kemija'],47,2.4

195,Turk Tom,Biotehniška fakulteta,Univerza v Ljubljani,"['Toksologija', 'Biokemija']",113,4.4

196,Turk Martina,Biotehniška fakulteta,Univerza v Ljubljani,['Mikrobiologija - praktikum'],20,2.4

197,Turniški Rok,Biotehniška fakulteta,Univerza v Ljubljani,['Pedologija'],19,4.8

198,Udovč Andrej,Biotehniška fakulteta,Univerza v Ljubljani,[''],25,2.8

199,Usenik Valentina,Biotehniška fakulteta,Univerza v Ljubljani,['Sadjarstvo'],54,3.8

200,Veberič Robert,Biotehniška fakulteta,Univerza v Ljubljani,['Osnove sadjarstva'],100,4.1

201,Verovnik Rudi,Biotehniška fakulteta,Univerza v Ljubljani,"['Sistematska zoologija nevretenčarjev', 'Zoologija nevretenčarjev', 'Naravovarstvena praksa']",60,3.7

202,Vidrih Matej,Biotehniška fakulteta,Univerza v Ljubljani,['Pašništvo'],19,3.2

203,Vilhar Barbara,Biotehniška fakulteta,Univerza v Ljubljani,['Biologija rastlin'],44,1.7

204,Vittori Miloš,Biotehniška fakulteta,Univerza v Ljubljani,[''],57,4.9

205,Vodnik Dominik,Biotehniška fakulteta,Univerza v Ljubljani,['Fiziologija rastlin'],93,3.7

206,Vogel-mikuš Katarina,Biotehniška fakulteta,Univerza v Ljubljani,['Fiziologija rastlin'],38,4.5

207,Voljč Mojca,Biotehniška fakulteta,Univerza v Ljubljani,['Reja govedi'],3,5.0

208,Vučajnk Filip,Biotehniška fakulteta,Univerza v Ljubljani,[''],24,3.2

209,Zalar Polona,Biotehniška fakulteta,Univerza v Ljubljani,[''],35,3.2

210,Zidar Primož,Biotehniška fakulteta,Univerza v Ljubljani,"['Splošna zoologija', 'Biologija živalske celice in histologija']",85,4.7

211,Zlender Bozidar,Biotehniška fakulteta,Univerza v Ljubljani,[''],4,3.8

212,Zorec Maša,Biotehniška fakulteta,Univerza v Ljubljani,['Okoljski monitoring'],19,3.2

213,Zupan Bf Marko,Biotehniška fakulteta,Univerza v Ljubljani,['Pedologija'],20,5.0

214,Zupanc Vesna,Biotehniška fakulteta,Univerza v Ljubljani,['Urejanje kmetijskih zemljišč'],44,4.2

215,Zupančič Gregor,Biotehniška fakulteta,Univerza v Ljubljani,"['Fiziologija živali', 'Raziskovalne metode v biologiji', 'Fiziologija živali', 'Raziskovalne metode v biologiji']",90,3.2

216,Zupančič Nina,Biotehniška fakulteta,Univerza v Ljubljani,['Geologija'],25,4.6

217,Čadež Neža,Biotehniška fakulteta,Univerza v Ljubljani,['Zagotavljanje kakovosti'],14,2.9

218,Čop Jure,Biotehniška fakulteta,Univerza v Ljubljani,"['Travništvo', 'Trajnostno kmetijstvo']",81,1.8

219,Črepinšek Zalika,Biotehniška fakulteta,Univerza v Ljubljani,[''],18,4.7

220,Črnigoj Miha,Biotehniška fakulteta,Univerza v Ljubljani,[''],29,4.1

221,Šantavec Igor,Biotehniška fakulteta,Univerza v Ljubljani,[''],33,4.0

222,Šegatin Nataša,Biotehniška fakulteta,Univerza v Ljubljani,['Kemija - vaje'],76,2.4

223,Šinko Milan,Biotehniška fakulteta,Univerza v Ljubljani,['Gozdno podjetništvo'],29,1.6

224,Šircelj Helena,Biotehniška fakulteta,Univerza v Ljubljani,['Botanika'],88,3.9

225,Štampar Franci,Biotehniška fakulteta,Univerza v Ljubljani,['Tehnologije pridelovanja sadja'],143,2.1

226,Štrus Jasna,Biotehniška fakulteta,Univerza v Ljubljani,"['Biologija celice', 'Biologija živalske celice in histologija', 'Splošna zoologija']",143,3.6

227,Žgur-bertok Darja,Biotehniška fakulteta,Univerza v Ljubljani,"['Mikrobna genetika', 'Mikrob in patogeneza']",44,4.0

228,Žnidaršič Nada,Biotehniška fakulteta,Univerza v Ljubljani,[''],1,4.0

229,Hudina Metka,Biotehniška fakulteta,Univerza v Ljubljani,"['Sadjarstvo', 'Osnove hortikulture', 'Sadjarstvo', 'Osnove hortikulture']",24,3.2

230,Sepčić Dr. Kristina,Biotehniška fakulteta,Univerza v Ljubljani,"['Naravni produkti in njihova uporaba', 'Biokemija']",6,4.3

231,Kreft Marko,Biotehniška fakulteta,Univerza v Ljubljani,"['Fiziolologija presnove', 'Fiziologija presnove', 'Nevrofiziologija']",23,5.0

232,Rudan-tasič Darja,Biotehniška fakulteta,Univerza v Ljubljani,[''],0,0

233,Marenče Jurij,Biotehniška fakulteta,Univerza v Ljubljani,['Gozdni proizvodi'],5,4.0

234,Jordan Dusanka,Biotehniška fakulteta,Univerza v Ljubljani,[''],1,4.0

235,Ahčan Aleš,Ekonomska fakulteta,Univerza v Ljubljani,"['Zavarovalništvo', 'Visoko kriminalna finančna politika', 'Psihopatsko vedenje']",111,2.0

236,Babič Katja,Ekonomska fakulteta,Univerza v Ljubljani,[''],52,3.2

237,Babnik Mihael,Ekonomska fakulteta,Univerza v Ljubljani,"['Informatika', 'Kvantna fizika v ekonomiji', 'Šport', 'Ziher je ziher - prihodnost vnukov', 'Fim 2', 'Družinsko podjetništvo', 'Financiranje tajkunskih kreditov 1', 'Poliranje pleše']",57,3.0

238,Bavdaž Mojca,Ekonomska fakulteta,Univerza v Ljubljani,[''],59,2.3

